year,nox,nox_necd,NECDceiling2010,Gothenburgceiling2010,ceiling2020,CLRTAPceiling2020
1970,2919.936263,2894.884017,,,,
1971,2908.509446,2881.343495,,,,
1972,2897.965815,2869.953265,,,,
1973,3069.869862,3040.720686,,,,
1974,2879.400702,2849.303589,,,,
1975,2796.72209,2767.001599,,,,
1976,2844.496763,2813.471718,,,,
1977,2861.180974,2829.665173,,,,
1978,2905.047407,2872.33101,,,,
1979,3009.450505,2976.142072,,,,
1980,2869.031289,2834.148185,,,,
1981,2758.783363,2722.710156,,,,
1982,2756.151739,2718.34859,,,,
1983,2723.83746,2684.926201,,,,
1984,2690.256786,2649.048316,,,,
1985,2784.342641,2743.388743,,,,
1986,2870.298752,2829.632994,,,,
1987,2943.852058,2901.239538,,,,
1988,3003.404255,2963.801836,,,,
1989,3056.724474,3017.361219,,,,
1990,2979.767424,2939.104854,,,,
1991,2908.329139,2867.539737,,,,
1992,2834.471735,2795.5337,,,,
1993,2676.92936,2639.059653,,,,
1994,2635.372841,2595.715297,,,,
1995,2524.496315,2484.360381,,,,
1996,2418.522495,2378.270444,,,,
1997,2224.748866,2184.167629,,,,
1998,2169.789513,2130.138369,,,,
1999,2049.86256,2009.671054,,,,
2000,1964.459095,1927.155779,,,,
2001,1931.355767,1896.318364,,,,
2002,1836.643742,1801.517089,,,,
2003,1806.42472,1771.514447,,,,
2004,1752.890626,1719.202944,,,,
2005,1731.285984,1698.167722,,,,
2006,1672.985894,1641.665952,,,,
2007,1603.911459,1573.575667,,,,
2008,1447.767201,1417.942267,,,,
2009,1255.103688,1225.069486,,,,
2010,1226.637887,1195.964605,1167,1181,,
2011,1152.044556,1121.128856,1167,1181,,
2012,1177.975897,1147.204194,1167,1181,,
2013,1118.993857,1087.999413,1167,1181,,
2014,1047.44046,1014.837345,1167,1181,,
2015,1015.481466,984.3129655,1167,1181,,
2016,920.9825031,890.2286404,1167,1181,,
2017,891.6909265,859.7319489,1167,1181,,
2018,866.3266112,834.8721043,1167,1181,,
2019,839.1176904,807.3322482,1167,1181,,
2020,,,,,764.175475,779.0786926
2021,,,,,764.175475,779.0786926
2022,,,,,764.175475,779.0786926
2023,,,,,764.175475,779.0786926
2024,,,,,764.175475,779.0786926
2025,,,,,764.175475,779.0786926
2026,,,,,764.175475,779.0786926
2027,,,,,764.175475,779.0786926
2028,,,,,764.175475,779.0786926
2029,,,,,764.175475,779.0786926
